name,address,zipCode,biz_id,rating,review_count
All Seasons Car wash,6722  Ridge Ave,19128,all-seasons-car-wash-and-lube-philadelphia,2.0,69
All Star Pizza,5154  Ridge Ave,19128,all-star-pizza-and-restaurant-philadelphia,2.5,39
All The Way Live,6108  Germantown Ave,19144,all-the-way-live-philadelphia,4.5,20
Alla Spina,1410  Mt. Vernon St,19130,alla-spina-philadelphia,3.5,372
Allegro Pizza,3942  Spruce St,19104,allegro-pizza-philadelphia,3.0,161
Allegro Pizza,4160  Monument Rd FLOOR 1 Allegro,19131,allegro-pizza-city-line-philadelphia,4.5,12
Alma De Cuba Restaurant,1623  Walnut St,19103,alma-de-cuba-philadelphia,4.0,1053
Alma Mater,7165  Germantown Ave,19119,alma-mater-philadelphia,2.0,27
Almaz Ethiopian Cafe,140 S 20th St,19103,almaz-cafe-philadelphia,4.0,314
Aloft Philadelphia Airport,4301  Island Ave,19153,aloft-philadelphia-airport-philadelphia,3.0,117
Aloosh Restaurant,3600  Lancaster Ave,19104,aloosh-hookah-bar-restaurant-philadelphia,4.0,105
Alyan's,603 S 04th St,19147,alyans-restaurant-philadelphia,4.0,187
Amada,217  Chestnut St,19106,amada-philadelphia,4.0,1625
Amalia's Cafe,1431 W Passyunk Ave,19145,amalias-cafe-and-hookah-lounge-philadelphia-2,4.5,115
Amari's,5037  Baltimore Ave,19143,amaris-restaurant-philadelphia,3.5,17
AMC Franklin Mills 14 Theatres,1149  Franklin Mills Cir,19154,amc-philadelphia-mills-14-philadelphia,2.5,28
AMC Theatres North Broad Street 7,1600 N Broad St  20 theater,19121,pearl-theatre-philadelphia,2.5,49
Ameri Thai,1244  Snyder Ave,19148,amerithai-philadelphia,4.0,79
American Airlines Admirals Club  (Terminal B/C),8500  Essington Ave,19153,phl-admirals-club-philadelphia,3.0,25
American Airlines Admirals Club ( Terminal F ),8500  Essington Ave,19153,phl-admirals-club-philadelphia,3.0,25
American Sardine Bar,1800  Federal St,19146,american-sardine-bar-philadelphia,4.0,271
Amici's Deli,2355 S Woodstock St,19145,amicis-deli-philadelphia,4.0,14
Amigos Bakery,2327 S 12th St,19148,amigos-bakery-philadelphia,5.0,4
Amis,412 S 13th St,19147,amis-philadelphia-3,4.0,594
Amy's Pizzeria,10849  Bustleton Ave,19116,amys-pizzeria-philadelphia,4.5,9
Anastasi Raw Bar,4161  Main St,19127,anastasi-raw-bar-philadelphia,4.0,54
Anastasi Seafood Restaurant,1101 S 09th St,19147,anastasi-seafood-philadelphia-2,4.0,145
Andonio's Diner,9244  Krewstown Rd,19115,andonios-diner-philadelphia-2,3.5,40
Andy's Chicken,2001  Memphis St,19125,andys-chicken-philadelphia-2,4.5,127
Angelo's Pizza House,3901  Frankford Ave,19124,angelos-pizza-house-philadelphia,4.5,7
Angelo's Restaurant & Pizzeria,11036  Rennard St,19116,angelos-pizza-philadelphia,3.5,19
Angie Manyeah's Kitchen,618 S 52nd St,19143,angies-kitchen-philadelphia,3.5,2
Animo Juice & Burrito Bar,1701  Arch St LOWR,19103,animo-juice-philadelphia,4.0,177
Ann's Nail Salon,2234  Ridge Ave,19121,anns-nails-philadelphia,2.5,11
Anna Nosh Deli,3600  Market St,19104,the-nosh-philadelphia,2.5,31
Annie's Seafood,6600  Haverford Ave,19151,annies-seafood-philadelphia,3.0,4
Antney's Grub,2655 S Juniper St,19148,antneys-grub-philadelphia-3,3.5,11
Antonio's Deli,1014  Federal St   1st Floor,19147,antonios-deli-philadelphia,5.0,19
A & J Seafood Market,3148 N Broad St,19132,a-and-j-seafood-philadelphia,2.0,4
A & L Deli Grocery 1 CORP,5929  Ogontz Ave,19141,a-and-n-house-of-produce-philadelphia,3.5,32
A & N House of Produce,5929  Greene St   a,19144,a-and-n-house-of-produce-philadelphia,3.5,32
A and M  Food Market,4863  D St,19120,bobs-bait-and-tackle-philadelphia,4.5,7
A La Mousse,145 N 11th St,19107,a-la-mousse-philadelphia,4.5,171
A Mandarin Restaurant,2102  Chestnut St,19103,a-mandarin-restaurant-philadelphia,3.0,72
A Mano,2244  Fairmount Ave,19130,a-mano-philadelphia,4.0,75
A Taste of Jamaica,7169  Ogontz Ave,19138,a-taste-of-jamaica-philadelphia,4.0,18
A. Esposito Inc.,1001 S 09th St,19147,espositos-meats-philadelphia,4.5,58
A.Kitchen Rittenhouse Square,135 S 18th,19103,a-kitchen-philadelphia-4,3.5,311
Abbie's Childcare Services,5103  Duffield St,19124,abbies-child-care-services-philadelphia,5.0,1
Abner's,3813  Chestnut St,19104,abners-cheesesteaks-philadelphia,3.5,127
Abyssinia Ethiopian Restaurant,229 S 45th St,19104,abyssinia-philadelphia,3.5,193
Accu Pizza,4802  Spruce St,19139,accu-pizza-philadelphia,3.0,37
Acme Market,8200  Roosevelt Blvd,19152,acme-markets-philadelphia,3.0,3
Action Pizza,7202  Ogontz Ave,19138,action-pizza-philadelphia,2.5,3
Adobe Cafe,1919 E Passyunk Ave,19148,the-adobe-cafe-philadelphia-2,3.0,172
Adrian's Sports Bar and Grill,5912  Germantown Ave,19144,adrians-sports-bar-and-grill-philadelphia,3.5,4
Adriano's Cucina Italiana,13023  Bustleton Ave,19116,adrianos-cucina-italiana-philadelphia,3.0,18
African Small Pot,6505  Woodland Ave,19142,african-small-pot-philadelphia,4.0,13
AKI Sushi Inc,1210  Walnut St,19107,aki-japanese-fusion-and-sushi-bar-philadelphia,3.5,302
Aksum,4630  Baltimore Ave,19143,aksum-philadelphia,4.0,204
Aku's Kitchen,5938  Chestnut St,19139,akus-kitchen-philadelphia,5.0,2
Al Sham Restaurant,6738  Bustleton Ave,19149,al-sham-restaurant-philadelphia,4.0,84
Al Sultan International Gourmet Market,1545 W Passyunk Ave,19145,al-sultan-international-gourmet-market-philadelphia,4.0,1
Al Zaytouna,906  Christian St,19147,al-zaytouna-philadelphia,4.0,141
Al's Corner Deli,7940  Torresdale Ave,19136,als-corner-deli-and-catering-service-philadelphia,4.5,38
Al's Katnip Cafe,412 S 54TH St,19143,amis-philadelphia-3,4.0,594
Aladdin Pizza & Eatery,4746  Spruce St,19139,aladdin-pizzeria-and-eatery-philadelphia,3.5,52
Alaska King Crab House,4834  Lancaster Ave,19131,alaska-king-crab-house-philadelphia-3,2.0,7
Albert Einstein Medical Center,5501  Old York Rd,19141,einstein-medical-center-philadelphia-philadelphia-3,2.0,10
Aldi,4421  Market St,19104,aldi-philadelphia-3,4.0,31
Aldine Restaurant,1901  Chestnut St FL 2,19103,aldine-philadelphia,4.0,115
Aldo's Pizzarama,10201  Bustleton Ave   Pizza,19116,aldos-pizzarama-philadelphia,4.5,63
Alexander Inn,301 S 12 St,19107,alexander-inn-philadelphia,4.0,114
Ali Baba Bakery,10184  Bustleton Ave,19116,ali-baba-philadelphia,4.0,9
All Links,3571  Richmond St,19134,all-links-philly-philadelphia,4.5,2
All Season Deli,1216 N Broad St   B,19121,all-season-deli-philadelphia,4.0,3
All Seasons Car wash,6722  Ridge Ave,19128,all-seasons-car-wash-and-lube-philadelphia,2.0,69
All Star Pizza,5154  Ridge Ave,19128,all-star-pizza-and-restaurant-philadelphia,2.5,39
All The Way Live,6108  Germantown Ave,19144,all-the-way-live-philadelphia,4.5,20
Alla Spina,1410  Mt. Vernon St,19130,alla-spina-philadelphia,3.5,372
Allegro Pizza,3942  Spruce St,19104,allegro-pizza-philadelphia,3.0,161
Allegro Pizza,4160  Monument Rd FLOOR 1 Allegro,19131,allegro-pizza-city-line-philadelphia,4.5,12
